Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3,H2O::Cell_1::Mitochondria_4,H2O_created::Cell_1::Mitochondria_4,OH-::Cell_1::Mitochondria_4,H+::Cell_1::Mitochondria_4,H+_inter::Cell_1::Mitochondria_4,H+_inter_created::Cell_1::Mitochondria_4,O2::Cell_1::Mitochondria_4,O2_in::Cell_1::Mitochondria_4,CO2::Cell_1::Mitochondria_4,ATP::Cell_1::Mitochondria_4,ATP_created::Cell_1::Mitochondria_4,ADP::Cell_1::Mitochondria_4,GDP::Cell_1::Mitochondria_4,GTP::Cell_1::Mitochondria_4,Pi::Cell_1::Mitochondria_4,NAD+::Cell_1::Mitochondria_4,NADH::Cell_1::Mitochondria_4,NADH_created::Cell_1::Mitochondria_4,NADH_in::Cell_1::Mitochondria_4,Pyruvate-::Cell_1::Mitochondria_4,Pyruvate-_in::Cell_1::Mitochondria_4,CoA-SH::Cell_1::Mitochondria_4,Acetyl_CoA::Cell_1::Mitochondria_4,FAD::Cell_1::Mitochondria_4,FADH2::Cell_1::Mitochondria_4,FADH2_created::Cell_1::Mitochondria_4,Pyruvate_transport::Cell_1::Mitochondria_4,ATP_synthase::Cell_1::Mitochondria_4,ADP_ATP_transport::Cell_1::Mitochondria_4,NADH_shuttle::Cell_1::Mitochondria_4,Pi_transport::Cell_1::Mitochondria_4,Commp1-3-4::Cell_1::Mitochondria_4,Commp2-3-4::Cell_1::Mitochondria_4,H2O::Cell_1::Mitochondria_5,H2O_created::Cell_1::Mitochondria_5,OH-::Cell_1::Mitochondria_5,H+::Cell_1::Mitochondria_5,H+_inter::Cell_1::Mitochondria_5,H+_inter_created::Cell_1::Mitochondria_5,O2::Cell_1::Mitochondria_5,O2_in::Cell_1::Mitochondria_5,CO2::Cell_1::Mitochondria_5,ATP::Cell_1::Mitochondria_5,ATP_created::Cell_1::Mitochondria_5,ADP::Cell_1::Mitochondria_5,GDP::Cell_1::Mitochondria_5,GTP::Cell_1::Mitochondria_5,Pi::Cell_1::Mitochondria_5,NAD+::Cell_1::Mitochondria_5,NADH::Cell_1::Mitochondria_5,NADH_created::Cell_1::Mitochondria_5,NADH_in::Cell_1::Mitochondria_5,Pyruvate-::Cell_1::Mitochondria_5,Pyruvate-_in::Cell_1::Mitochondria_5,CoA-SH::Cell_1::Mitochondria_5,Acetyl_CoA::Cell_1::Mitochondria_5,FAD::Cell_1::Mitochondria_5,FADH2::Cell_1::Mitochondria_5,FADH2_created::Cell_1::Mitochondria_5,Pyruvate_transport::Cell_1::Mitochondria_5,ATP_synthase::Cell_1::Mitochondria_5,ADP_ATP_transport::Cell_1::Mitochondria_5,NADH_shuttle::Cell_1::Mitochondria_5,Pi_transport::Cell_1::Mitochondria_5,Commp1-3-4::Cell_1::Mitochondria_5,Commp2-3-4::Cell_1::Mitochondria_5
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999989102569,9998578,9998578,0,0,1000,0,0,0,9999001147,10000998853,10000998853,10000000000,0,0,99999900308,0,100692,100692,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899273,0,101727,101727,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900094,0,100906,100906,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900258,0,100742,100742,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999901201,0,99799,99799,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1315050,639217,10000000,60000000,10000,60000,9998963664645,93496962,101768228,9945,8684950,1000,2,943456,17350010,9245522707,10754477293,10901447793,9992676324,7323676,4134,100006361011,19659900,262715,5322448,71500,171092600,5045731,13281531,9852595,1171381,35940300,998828619,999999323,677,1468906842,998155447,1844553,13135553,1992300,1,3286680,999996279,3721,999905342,94658,3282958,1000,1000,1000,1000,1000,1000,1000,100006105139,19356100,258084,5416521,208100,168216200,2480405,10574405,9825778,1084451,35088000,998915549,999991992,8008,1470284241,997912163,2087837,13101037,2006700,3440,3278700,999999999,1,999892841,107159,3275259,1000,1000,1000,1000,1000,1000,1000,100006290669,19508100,238451,5240991,199700,169681800,3509306,11675906,9809180,1130841,35530800,998869159,999999981,19,1469510340,998073960,1926040,13077540,2006800,3740,3276200,999995900,4100,999906540,93460,3268360,1000,1000,1000,1000,1000,1000,1000,100006322221,19533400,217459,5188477,236800,169905200,4024360,12201760,9823378,1139206,35579400,998860794,999999666,334,1469427760,998071482,1928518,13095418,2009300,2,3279300,999992742,7258,999906560,93440,3272040,1000,1000,1000,1000,1000,1000,1000,100006309380,19510700,203780,5205900,228700,169694200,3460129,11627179,9825700,1085107,35570400,998914893,999999627,373,1469279920,998050720,1949280,13099680,2007100,3800,3281540,999996240,3760,999902620,97380,3273980,1000,1000,1000,1000,1000,1000,1000
3000,1900030,639629,20000000,120000000,10000,60000,9998089081583,93040848,102634762,10195,18099970,1000,1,972164,36179550,8645789231,11354210769,11719120969,9991390496,8609504,12246,100018368349,46599400,126274,8154031,22900,410279600,4829432,24646982,21141478,1227607,87210000,998772393,999999248,752,1425373741,999000263,999737,28188637,5481900,3760,7050920,999999999,1,999917141,82859,7047159,1000,1000,1000,1000,1000,1000,1000,100018061660,46240700,132860,8474860,13300,406887800,1796502,21446902,21107280,1188643,86221800,998811357,999992183,7817,1427090340,998680460,1319540,28143040,5537400,0,7035760,1000000000,0,999904140,95860,7035760,1000,1000,1000,1000,1000,1000,1000,100018274304,46448900,169296,8178092,26400,408930600,4310540,24062590,21068996,1229456,86889300,998770544,999999956,44,1425768400,998992804,1007196,28089496,5477000,4,7028000,999992504,7496,999924300,75700,7020500,1000,1000,1000,1000,1000,1000,1000,100018349036,46613700,191264,8216024,39800,410477800,4601105,24429255,21117000,1230581,87249600,998769419,999996081,3919,1425406600,998978200,1021800,28156000,5564700,3760,7042760,1000000000,0,999918400,81600,7039000,1000,1000,1000,1000,1000,1000,1000,100018299877,46547500,194066,8016942,206600,409838200,4978191,24774641,21099957,1186646,87099900,998813354,999995927,4073,1425371181,999008224,991776,28133276,5496800,4381,7037700,1000000000,0,999921281,78719,7033319,1000,1000,1000,1000,1000,1000,1000
4000,2345140,612925,30000000,180000000,10000,60000,9997270797408,93644515,103512097,9538,27654860,1000,61118,989438,55290644,8103737023,11896262977,12479663577,9991143222,8856778,21366,100030113252,73596100,128628,11605607,40400,649649800,6187717,37591317,32573959,1245861,138434700,998754139,999999921,79,1381847060,999345701,654299,43429399,9243200,1,10863080,999992361,7639,999933460,66540,10855440,1000,1000,1000,1000,1000,1000,1000,100029915912,73307400,96428,11809568,24600,646981200,1921449,33194349,32534460,1239627,137771400,998760373,999992607,7393,1382685180,999110920,889080,43379280,9294000,3840,10848660,1000000000,0,999916780,83220,10844820,1000,1000,1000,1000,1000,1000,1000,100030054449,73451600,91014,11422388,216700,648326400,4508746,35847696,32537275,1187071,137985900,998812929,999999292,708,1382693521,999300246,699754,43381754,9222200,3,10848320,999996162,3838,999929221,70779,10844479,1000,1000,1000,1000,1000,1000,1000,100030173934,73649000,117129,11460725,234400,650202800,4308580,35740130,32577137,1185975,138530100,998814025,999999296,704,1381744821,999283784,716216,43434816,9358600,1,10861780,999995900,4100,999928221,71779,10857679,1000,1000,1000,1000,1000,1000,1000,100030113185,73607800,156747,11483115,203000,649775600,5542465,36952465,32558712,1198540,138486600,998801460,999999584,416,1381562444,999328632,671368,43409068,9294500,0,10858000,999992356,7644,999937444,62556,10850356,1000,1000,1000,1000,1000,1000,1000
5000,2722300,627998,40000000,240000000,10000,60000,9996504067827,94475341,104488741,9740,37277700,1000,5683,995780,74535920,7613386868,12386613132,13187419732,9991012880,8987120,30500,100041680876,100581200,155487,15198203,212700,888697600,6777525,49748475,44106537,1187427,189412800,998812573,999996248,3752,1338882921,999450484,549516,58808716,13043400,3721,14705900,1000000000,0,999937121,62879,14702179,1000,1000,1000,1000,1000,1000,1000,100041620249,100442000,140854,15273991,234700,887481600,2301185,45213535,44064598,1181044,189226800,998818956,999999545,455,1338720901,999324303,675697,58752797,13130300,3940,14692140,999999999,1,999929101,70899,14688199,1000,1000,1000,1000,1000,1000,1000,100041672317,100477400,130346,15339303,29300,887762000,4949674,47875124,44057318,1246801,189165600,998753199,999999922,78,1339462621,999452903,547097,58740397,13031100,0,14691160,999991919,8081,999943421,56579,14683079,1000,1000,1000,1000,1000,1000,1000,100041837246,100613100,90157,15157933,199200,889113400,4233425,47226375,44059497,1168441,189576300,998831559,999996342,3658,1338583001,999424404,575596,58745996,13188300,4881,14691380,1000000000,0,999940701,59299,14686499,1000,1000,1000,1000,1000,1000,1000,100041809899,100815000,155227,15398519,39600,890840400,6227160,49302810,44187174,1245599,190118100,998754401,999992341,7659,1337499042,999446168,553832,58916232,13125200,2,14729060,1000000000,0,999934642,65358,14729058,1000,1000,1000,1000,1000,1000,1000
6000,3056020,637677,50000000,300000000,10000,60000,9995783048427,96374293,106512211,1485,46943980,1000,5168,1012328,93884990,7170403420,12829596580,13848546280,9990914472,9085528,40062,100053311133,127613900,142153,19139447,36800,1128188600,7786579,62346629,55671616,1222198,240723600,998777802,999999560,440,1295015062,999525646,474354,74227554,16873100,0,18559740,999996198,3802,999937862,62138,18555938,1000,1000,1000,1000,1000,1000,1000,100053304750,127544600,128933,19026469,201700,1127626800,3055535,57589135,55634517,1188652,240477300,998811348,999995313,4687,1295629361,999449344,550656,74179356,16961100,3741,18548580,1000000000,0,999932561,67439,18544839,1000,1000,1000,1000,1000,1000,1000,100053321519,127655700,128413,19173640,19700,1128500200,5895128,60469428,55703791,1236833,240659400,998763167,999999277,723,1295574344,999505753,494247,74270347,16865400,1,18570680,999995877,4123,999940544,59456,18566556,1000,1000,1000,1000,1000,1000,1000,100053507258,127731100,76408,19127000,36800,1129421400,3922642,58545092,55662234,1230760,241000200,998769240,999998982,1018,1294912322,999466688,533312,74216312,17075700,2,18554080,1000000000,0,999932122,67878,18554078,1000,1000,1000,1000,1000,1000,1000,100053568246,127953900,61117,19132554,17800,1131233400,5699021,60406871,55787338,1228184,241517100,998771816,999999405,595,1293805121,999510283,489717,74383117,16984100,3740,18599520,999999999,1,999942421,57579,18595779,1000,1000,1000,1000,1000,1000,1000
7000,3356970,636841,60000000,360000000,10000,60000,9995108857013,93610922,103700773,9925,56643030,1000,63837,1001241,113266210,6770286935,13229713065,14466914265,9990960859,9039141,49469,100064987885,154727100,137475,22966874,21600,1368382200,7858286,74041286,67245439,1234732,292065000,998765268,999992152,7848,1251455120,999566681,433319,89659319,20778900,1,22417680,999996201,3799,999947220,52780,22413880,1000,1000,1000,1000,1000,1000,1000,100065012670,154781100,142116,22853508,202300,1368921400,3277575,69487525,67266114,1203815,291917700,998796185,999995377,4623,1252541362,999508348,491652,89688152,20862200,2,22422040,1000000000,0,999939162,60838,22422038,1000,1000,1000,1000,1000,1000,1000,100065066771,154975600,122409,22815049,210200,1370512000,5448901,71733951,67381920,1192851,292318200,998807149,999999311,689,1251817160,999561640,438360,89842560,20760400,3840,22464480,1000000000,0,999944860,55140,22460640,1000,1000,1000,1000,1000,1000,1000,100065251848,154933100,51041,22689652,233600,1370415000,4814188,71098488,67274174,1205040,292488600,998794960,999999903,97,1251129163,999557489,442511,89696411,20950200,0,22429700,999992537,7463,999942263,57737,22422237,1000,1000,1000,1000,1000,1000,1000,100065175480,155131100,116320,22796619,236900,1371959800,6581972,72938072,67429199,1198703,292985700,998801297,999999603,397,1249807200,999564401,435599,89902999,20825900,1,22481600,999992201,7799,999945100,54900,22473800,1000,1000,1000,1000,1000,1000,1000
8000,3632500,626642,70000000,420000000,10000,60000,9994464636748,98983007,109103188,9757,66367500,1000,62783,1007795,132715486,6408975555,13591024445,15048873745,9990946545,9053455,58931,100076726524,182002800,132256,26771574,58200,1610023200,7486158,85362258,78902278,1251690,343718700,998748310,999999950,50,1207569760,999608482,391518,105200418,24692700,2,26306000,999992142,7858,999952460,47540,26298140,1000,1000,1000,1000,1000,1000,1000,100076725794,182037600,129646,26654286,237800,1610353600,3803425,81695825,78930360,1246550,343673700,998753450,999991830,8170,1207920380,999551520,448480,105240480,24740000,3840,26313960,1000000000,0,999942680,57320,26310120,1000,1000,1000,1000,1000,1000,1000,100076761146,182220800,117114,26857114,23300,1611832800,6441025,84402975,79046640,1269235,344095200,998730765,999996055,3945,1207203220,999589680,410320,105395520,24641800,4100,26352980,1000000000,0,999948020,51980,26348880,1000,1000,1000,1000,1000,1000,1000,100076825377,182121400,135583,26807563,45900,1611225200,6035417,83971817,78912840,1259160,344041200,998740840,999995980,4020,1207177420,999590480,409520,105217120,24816600,4080,26308360,1000000000,0,999944320,55680,26304280,1000,1000,1000,1000,1000,1000,1000,100076849627,182363400,117433,26692913,207500,1613188400,5848850,83877700,79091640,1201018,344550300,998798982,999995238,4762,1206031320,999584480,415520,105455520,24712000,3580,26367460,1000000000,0,999941820,58180,26363880,1000,1000,1000,1000,1000,1000,1000
9000,3892290,627598,80000000,480000000,10000,60000,9993866474872,92759403,102884503,10461,76107710,1000,535,1000302,152194498,6082310875,13917689125,15594774425,9990943578,9056422,68376,100088525601,209288600,37819,30390378,222500,1851736400,9753092,99325542,90590159,1228067,395427600,998771933,999999607,393,1163319540,999626781,373219,120784319,28590100,1,30201840,999992321,7679,999949540,50460,30194160,1000,1000,1000,1000,1000,1000,1000,100088487054,209319000,52086,30646326,65400,1851969200,3124890,92708090,90628260,1252292,395279400,998747708,999999872,128,1164381780,999554020,445980,120837680,28622100,4240,30213660,1000000000,0,999943180,56820,30209420,1000,1000,1000,1000,1000,1000,1000,100088488128,209458600,56858,30692652,22600,1853094800,7216844,96852944,90732616,1214783,395597400,998785217,999998845,1155,1163724062,999588746,411254,120975354,28521700,0,30247140,999995598,4402,999943662,56338,30242738,1000,1000,1000,1000,1000,1000,1000,100088587159,209463500,127141,30682221,43500,1853450200,6093463,95751163,90602100,1262546,395781300,998737454,999995846,4154,1163410900,999605700,394300,120802800,28758800,3580,30204280,1000000000,0,999947400,52600,30200700,1000,1000,1000,1000,1000,1000,1000,100088593392,209602300,32917,30682205,20500,1854420600,5033128,94734128,90776691,1262357,396219000,998737643,999991860,8140,1161844403,999589112,410888,121035588,28577000,3,30258900,1000000000,0,999941403,58597,30258897,1000,1000,1000,1000,1000,1000,1000
10000,4136910,624098,90000000,540000000,10000,60000,9993289804246,96112578,106301528,9753,85863090,1000,565,1005576,171706674,5786946024,14213053976,16109452076,9990894524,9105476,77898,100100206903,236584300,46280,34301716,204900,2093488600,10257469,111527469,102287817,1201924,447095400,998798076,999995885,4115,1119444961,999639344,360656,136383756,32472600,3741,34099680,1000000000,0,999948361,51639,34095939,1000,1000,1000,1000,1000,1000,1000,100100141981,236664100,124119,34639719,36500,2094189800,2641934,103945784,102342600,1264009,447105600,998735991,999992309,7691,1120172700,999566000,434000,136456800,32528500,3900,34118100,1000000000,0,999942200,57800,34114200,1000,1000,1000,1000,1000,1000,1000,100100140603,236753900,111177,34429577,196300,2094867800,6660149,107995149,102419220,1230208,447137400,998769792,999996268,3732,1120341360,999629240,370760,136558960,32397900,4200,34143940,1000000000,0,999944160,55840,34139740,1000,1000,1000,1000,1000,1000,1000,100100391286,236765800,30094,34472514,31800,2095290800,7067071,108427021,102303680,1255061,447470700,998744939,999995421,4579,1119530260,999629780,370220,136403520,32640700,0,34104000,999995840,4160,999946060,53940,34099840,1000,1000,1000,1000,1000,1000,1000,100100335301,236925800,30082,34511859,52600,2096456400,6067114,107479914,102464958,1266235,447954900,998733765,999999296,704,1117874361,999623103,376897,136618697,32483600,0,34157480,999996259,3741,999946461,53539,34153739,1000,1000,1000,1000,1000,1000,1000
11000,4365310,612801,100000000,600000000,10000,60000,9992747801530,92958193,103243079,1551,95634690,1000,2,1025608,191266278,5520525223,14479474777,16597623977,9990828132,9171868,87410,100111893099,263970300,106121,38207701,250600,2336050200,10526947,123533797,114015480,1208338,498991200,998791662,999999178,822,1075098840,999657060,342940,152020640,36379400,4080,38009240,1000000000,0,999951440,48560,38005160,1000,1000,1000,1000,1000,1000,1000,100111960430,264015400,25910,38425507,37100,2336403600,3061555,116084855,114069657,1258188,498860400,998741812,999999968,32,1076231280,999592123,407877,152090077,36395600,3,38028820,999991603,8397,999948380,51620,38020420,1000,1000,1000,1000,1000,1000,1000,100111876320,264108500,105666,38328000,199900,2337150600,7146034,120204384,114135716,1229068,499039200,998770932,999999230,770,1075758662,999626846,373154,152180954,36317100,3840,38049080,999999998,2,999946562,53438,38045238,1000,1000,1000,1000,1000,1000,1000,100112106570,264134000,46633,38358706,47900,2337648800,7139604,120225904,114028634,1260355,499396500,998739645,999996056,3944,1074843201,999655067,344933,152035433,36520700,4,38015040,999991763,8237,999954601,45399,38006799,1000,1000,1000,1000,1000,1000,1000,100111965305,264215500,125415,38484652,44000,2338182200,6228807,119338257,114137197,1265699,499684800,998734301,999999939,61,1073691540,999647843,352157,152180257,36394200,3,38051080,999991983,8017,999953540,46460,38043060,1000,1000,1000,1000,1000,1000,1000
12000,4582990,632633,110000000,660000000,10000,60000,9992226896586,94045613,104306099,1573,105417010,1000,1,1026512,210830874,5279512299,14720487701,17058396701,9990863148,9136852,97122,100123579329,291256300,120971,42160851,201100,2577740600,11013785,135715535,125704200,1214408,550619700,998785592,999999908,92,1031422800,999664100,335900,167605600,40281000,3680,41905080,1000000000,0,999951400,48600,41901400,1000,1000,1000,1000,1000,1000,1000,100123708610,291428800,42230,42327869,50400,2579256000,3590237,128365137,125804079,1259544,550845600,998740456,999995924,4076,1031770280,999601401,398599,167737399,40332000,1,41937440,999995881,4119,999945680,54320,41933320,1000,1000,1000,1000,1000,1000,1000,100123715341,291514800,26722,42102359,242100,2579918400,7233802,132039352,125870038,1202628,550904400,998797372,999991849,8151,1031775421,999642683,357317,167826717,40238000,3740,41960420,999999999,1,999947021,52979,41956679,1000,1000,1000,1000,1000,1000,1000,100123800953,291605000,123170,42179187,223300,2580966800,7767264,132627064,125804338,1227304,551253600,998772696,999996545,3455,1031230941,999660703,339297,167736497,40437000,0,41940020,999992139,7861,999953241,46759,41932159,1000,1000,1000,1000,1000,1000,1000,100123700026,291604400,120614,42380274,58200,2580811200,5770128,130620278,125880660,1245075,551528400,998754925,999999355,645,1029726180,999646420,353580,167840880,40308900,4060,41964280,1000000000,0,999943880,56120,41960220,1000,1000,1000,1000,1000,1000,1000
13000,4793790,631312,120000000,720000000,10000,60000,9991728858041,95214380,105464570,9951,115206210,1000,5726,1008872,230392518,5061871221,14938128779,17497442579,9990865428,9134572,106746,100135335974,318677600,121432,46242024,40400,2820650400,9308342,145764292,137455494,1292053,602729100,998707947,999998955,1045,986551802,999661108,338892,183273992,44211100,3602,45822100,1000000000,0,999947202,52798,45818498,1000,1000,1000,1000,1000,1000,1000,100135470023,318780000,24457,46183917,41400,2821520000,3693210,140190710,137501520,1260661,602712300,998739339,999999321,679,987373260,999637340,362660,183335360,44237300,4360,45838200,1000000000,0,999951160,48840,45833840,1000,1000,1000,1000,1000,1000,1000,100135481328,318963900,39372,46176352,74400,2823073400,7827270,144398870,137623500,1280703,602822400,998719297,999999603,397,988088300,999667200,332800,183498000,44157300,4080,45878580,1000000000,0,999946200,53800,45874500,1000,1000,1000,1000,1000,1000,1000,100135560775,319010400,104365,46239085,49900,2823715200,9581222,146187122,137547660,1237092,603181500,998762908,999998872,1128,987116980,999668520,331480,183396880,44347800,3920,45853140,1000000000,0,999949380,50620,45849220,1000,1000,1000,1000,1000,1000,1000,100135551443,319036000,24337,46211815,35300,2823719200,6219018,142821968,137638958,1243332,603517500,998756668,999999992,8,985238760,999662102,337898,183515998,44197700,2,45884880,999992162,7838,999953060,46940,45877040,1000,1000,1000,1000,1000,1000,1000
14000,4992880,640105,130000000,780000000,10000,60000,9991251740684,96215736,106534252,1644,125007120,1000,5743,1029564,250010952,4864966920,15135033080,17915072880,9990827716,9172284,116668,100147135801,346165200,103525,50152079,33300,3064082400,10314205,158548705,149235056,1289074,654809100,998710926,999992716,7284,942082842,999666086,333914,198978614,48128100,0,49747940,999995618,4382,999952642,47358,49743558,1000,1000,1000,1000,1000,1000,1000,100147110107,346166200,117913,50187873,52100,3064087600,3535308,151770008,149242380,1251234,654538800,998748766,999999874,126,943413240,999629360,370640,198989840,48153400,3960,49751420,1000000000,0,999949340,50660,49747460,1000,1000,1000,1000,1000,1000,1000,100147181793,346398400,106247,50032407,190300,3066056000,8675020,157003720,149370360,1232751,654648300,998767249,999998931,1069,944388080,999677720,322280,199160480,48078200,4060,49794180,1000000000,0,999950880,49120,49790120,1000,1000,1000,1000,1000,1000,1000,100147307571,346427800,105852,50144108,61600,3066552400,8121779,156477829,149299677,1245914,655135200,998754086,999999555,445,942754041,999670464,329536,199066236,48259700,3761,49770320,1000000000,0,999949141,50859,49766559,1000,1000,1000,1000,1000,1000,1000,100147192496,346449800,120164,50043944,211600,3066527600,7202140,155553890,149391840,1233738,655396200,998766262,999999558,442,941059920,999665480,334520,199189120,48102600,3580,49800860,1000000000,0,999949020,50980,49797280,1000,1000,1000,1000,1000,1000,1000
